date,unscheduled,forecast,confcall
1980-01-09,False,False,False
1980-02-05,False,False,False
1980-02-22,False,False,True
1980-03-07,False,False,True
1980-03-18,False,False,False
1980-04-22,False,False,False
1980-04-29,False,False,True
1980-05-06,False,False,True
1980-05-20,False,False,False
1980-06-05,False,False,True
1980-07-09,False,False,False
1980-07-25,False,False,True
1980-08-12,False,False,False
1980-08-22,False,False,True
1980-09-16,False,False,False
1980-10-21,False,False,False
1980-11-18,False,False,False
1980-11-26,False,False,True
1980-12-05,False,False,True
1980-12-12,False,False,True
1980-12-19,False,False,False
1981-02-03,False,False,False
1981-02-24,False,False,True
1981-03-31,False,False,False
1981-04-28,False,False,True
1981-05-06,False,False,True
1981-05-18,False,False,False
1981-06-17,False,False,True
1981-07-07,False,False,False
1981-07-17,False,False,True
1981-08-07,False,False,True
1981-08-18,False,False,False
1981-10-06,False,False,False
1981-11-17,False,False,False
1981-12-22,False,False,False
1982-02-02,False,False,False
1982-03-30,False,False,False
1982-05-18,False,False,False
1982-05-20,False,False,True
1982-06-01,False,False,False
1982-07-15,False,False,True
1982-08-24,False,False,False
1982-09-24,False,False,True
1982-10-05,False,False,False
1982-11-16,False,False,False
1982-12-21,False,False,False
1983-01-14,False,False,True
1983-01-21,False,False,True
1983-01-28,False,False,True
1983-02-09,False,False,False
1983-03-29,False,False,False
1983-04-29,False,False,True
1983-05-24,False,False,False
1983-06-23,False,False,True
1983-07-13,False,False,False
1983-08-23,False,False,False
1983-09-08,False,False,True
1983-10-04,False,False,False
1983-11-15,False,False,False
1983-12-20,False,False,False
1984-01-31,False,False,False
1984-03-20,False,False,True
1984-03-27,False,False,False
1984-05-22,False,False,False
1984-07-17,False,False,False
1984-08-21,False,False,False
1984-10-02,False,False,False
1984-11-07,False,False,False
1984-12-18,False,False,False
1985-01-18,False,False,True
1985-02-13,False,False,False
1985-03-26,False,False,False
1985-05-21,False,False,False
1985-07-10,False,False,False
1985-08-20,False,False,False
1985-09-23,False,False,True
1985-10-01,False,False,False
1985-11-05,False,False,False
1985-12-17,False,False,False
1986-02-12,False,False,False
1986-04-01,False,False,False
1986-04-21,False,False,True
1986-05-20,False,False,False
1986-07-09,False,False,False
1986-08-19,False,False,False
1986-09-23,False,False,False
1986-11-05,False,False,False
1986-12-16,False,False,False
1987-02-11,False,False,False
1987-02-23,False,False,True
1987-03-31,False,False,False
1987-04-29,False,False,True
1987-05-19,False,False,False
1987-07-07,False,False,False
1987-08-18,False,False,False
1987-09-22,False,False,False
1987-10-19,False,False,True
1987-10-20,False,False,True
1987-10-30,False,False,True
1987-11-03,False,False,False
1987-12-16,False,False,False
1988-01-05,False,False,True
1988-02-10,False,False,False
1988-03-29,False,False,False
1988-05-17,False,False,False
1988-06-30,False,False,False
1988-07-19,False,False,True
1988-08-16,False,False,False
1988-09-20,False,False,False
1988-10-17,False,False,True
1988-11-01,False,False,False
1988-11-22,False,False,True
1988-12-14,False,False,False
1989-02-08,False,False,False
1989-03-28,False,False,False
1989-05-16,False,False,False
1989-05-31,False,False,True
1989-06-05,False,False,True
1989-07-06,False,False,False
1989-07-26,False,False,True
1989-08-22,False,False,False
1989-10-03,False,False,False
1989-10-16,False,False,True
1989-10-17,False,False,True
1989-10-18,False,False,True
1989-11-14,False,False,False
1989-12-19,False,False,False
1990-02-07,False,False,False
1990-03-27,False,False,False
